Kod,Ders,Eğitmen(ler),Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm sınırlaması,CRN,Term
FIZ 102E,Physics II,Mehmet Cem Güçlü,Salı Çarşamba,0830/1129 0830/1129,MED FEB,50.0,50,BIO BIOE BLG BLGE CHZ CHZE DEN DENE DUI DUIE DUIK FIZM GEM GEME GEMK GID GIDE GMI GMIE GMIK IML IMLE JEF JEFE JEO JEOE KIM KIME KMM KMME MAD MADE MAK MAKE MAKM MET METE MTO MTOE PET PETE TEK TEKE UCK UCKE UCKM UZB UZBE UZBM,30641.0,2016 - 2017 Yaz Dönemi
FIZ 102E,Physics II,Hilmi Ünlü,Pazartesi Salı,1330/1629 1330/1629,INB INB,50.0,50,BIO BIOE BLG BLGE CHZ CHZE DEN DENE DUI DUIE DUIK FIZM GEM GEME GEMK GID GIDE GMI GMIE GMIK IML IMLE JEF JEFE JEO JEOE KIM KIME KMM KMME MAD MADE MAK MAKE MAKM MET METE MTO MTOE PET PETE TEK TEKE UCK UCKE UCKM UZB UZBE UZBM,30476.0,2016 - 2017 Yaz Dönemi
FIZ 102E,Physics II,Kazım Yavuz Ekşi,Pazartesi Salı,1330/1629 1330/1629,INB INB,50.0,50,BIO BIOE BLG BLGE CHZ CHZE DEN DENE DUI DUIE DUIK FIZM GEM GEME GEMK GID GIDE GMI GMIE GMIK IML IMLE JEF JEFE JEO JEOE KIM KIME KMM KMME MAD MADE MAK MAKE MAKM MET METE MTO MTOE PET PETE TEK TEKE UCK UCKE UCKM UZB UZBE UZBM,30472.0,2016 - 2017 Yaz Dönemi
END 344E,Behavioral Sciences,Gaye Karaçay Aydın,Perşembe,1330/1629,ISB,26.0,50,ECNE END ENDE IML IMLE,13946.0,2018 - 2019 Güz Dönemi
FIZ 102E,Physics II,Sevtap Yıldız Özbek,Pazartesi Salı,1330/1629 1330/1629,FEB FEB,50.0,50,BIO BIOE BLG BLGE CHZ CHZE DEN DENE DUI DUIE DUIK FIZM GEM GEME GEMK GID GIDE GMI GMIE GMIK IML IMLE JEF JEFE JEO JEOE KIM KIME KMM KMME MAD MADE MAK MAKE MAKM MET METE MTO MTOE PET PETE TEK TEKE UCK UCKE UCKM UZB UZBE UZBM,30295.0,2016 - 2017 Yaz Dönemi
FIZ 449,Günlük Yaşamımızda Fizik,Burak Zincir,Cuma,0830/1129,,50.0,50,DUI GMI,13903.0,2020 - 2021 Güz Dönemi
FIZ 102E,Physics II,Yaşar Yılmaz,Pazartesi Salı,0830/1129 0830/1129,INB INB,50.0,50,BIO BIOE BLG BLGE CHZ CHZE DEN DENE DUI DUIE DUIK FIZM GEM GEME GEMK GID GIDE GMI GMIE GMIK IML IMLE JEF JEFE JEO JEOE KIM KIME KMM KMME MAD MADE MAK MAKE MAKM MET METE MTO MTOE PET PETE TEK TEKE UCK UCKE UCKM UZB UZBE UZBM,30479.0,2016 - 2017 Yaz Dönemi
FIZ 102E,Physics II,Hilmi Ünlü,Pazartesi Salı,0830/1129 0830/1129,INB INB,49.0,50,BIO BIOE BLG BLGE CHZ CHZE DEN DENE DUI DUIE DUIK FIZM GEM GEME GEMK GID GIDE GMI GMIE GMIK IML IMLE JEF JEFE JEO JEOE KIM KIME KMM KMME MAD MADE MAK MAKE MAKM MET METE MTO MTOE PET PETE TEK TEKE UCK UCKE UCKM UZB UZBE UZBM,30475.0,2016 - 2017 Yaz Dönemi
MAT 271E,Probability and Statistics,Sanem Kabadayı,Salı,1330/1629,,49.0,50,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI EHB EHBE EHN ELE ELH ELK ELKE ENTE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE GMIK IML IMLE INS INSE JEF JEFE JEO JEOE KMM KMME KOM KOME KON KONE MAD MADE MAK MAKE MET METE MTO MTOE PET PETE SBP SBPE SEH TEK TEKE TEL UCK UCKE UZB UZBE,11665.0,2020 - 2021 Güz Dönemi
FIZ 102E,Physics II,Kazım Yavuz Ekşi,Pazartesi Salı,0830/1129 0830/1129,INB INB,50.0,50,BIO BIOE BLG BLGE CHZ CHZE DEN DENE DUI DUIE DUIK FIZM GEM GEME GEMK GID GIDE GMI GMIE GMIK IML IMLE JEF JEFE JEO JEOE KIM KIME KMM KMME MAD MADE MAK MAKE MAKM MET METE MTO MTOE PET PETE TEK TEKE UCK UCKE UCKM UZB UZBE UZBM,30471.0,2016 - 2017 Yaz Dönemi
MAT 271,Olasılık ve İstatistik,Filiz Türk Katırcıoğlu,Perşembe,1130/1429,,54.0,50,BIO BLG EHB ELE ELH EUT FIZ GEM GEO GID IML INS JEO KMM MET MTO PET TEL UCK UZB,12095.0,2020 - 2021 Güz Dönemi
FIZ 102E,Physics II,Sevtap Yıldız Özbek,Pazartesi Salı,0830/1129 0830/1129,FEB FEB,51.0,50,BIO BIOE BLG BLGE CHZ CHZE DEN DENE DUI DUIE DUIK FIZM GEM GEME GEMK GID GIDE GMI GMIE GMIK IML IMLE JEF JEFE JEO JEOE KIM KIME KMM KMME MAD MADE MAK MAKE MAKM MET METE MTO MTOE PET PETE TEK TEKE UCK UCKE UCKM UZB UZBE UZBM,30283.0,2016 - 2017 Yaz Dönemi
FIZ 201E,Modern Physics,Mehmet Murat Sunar,Salı Perşembe,1330/1629 0830/1129,INB INB,50.0,50,CHZ CHZE DEN DENE EHB EHBE ELE ELH ELK FIZM GEM GEME GEMK GMI GMIE JEO JEOE KOM KOME MAD MADE METE MTO MTOE PET PETE TEL UCK UCKE UZB UZBE,30494.0,2016 - 2017 Yaz Dönemi
FIZ 201,Modern Fizik,Mehmet Murat Sunar,Salı Perşembe,0830/1129 1330/1629,INB INB,19.0,50,CHZ DEN EHB ELE ELH ELK FIZM GEM JEO KOM MAD MET MTO PET TEL UCK UZB,30493.0,2016 - 2017 Yaz Dönemi
KIM 101E,General Chemistry I,Abdullah Aydoğan,Pazartesi Salı Çarşamba,0900/1129 0900/1129 0900/1129,,50.0,50,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI EHB EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIMM KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MTO MTOE PET PETE SEH TEK TEKE TEKM TEL UCK UCKE UCKM UZB UZBE UZBM,30287.0,2019 - 2020 Yaz Dönemi
KIM 101E,General Chemistry I,Muhammet Übeydullah Kahveci,Pazartesi Salı Perşembe,1400/1629 1400/1629 1400/1629,,35.0,50,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI EHB EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIMM KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MTO MTOE PET PETE SEH TEK TEKE TEKM TEL UCK UCKE UCKM UZB UZBE UZBM,30284.0,2019 - 2020 Yaz Dönemi
MAT 287,Matematik III,Nurettin Cenk Turgay,Salı Cuma,1430/1729 1500/1659,,25.0,50,MAT MATM,20668.0,2020 - 2021 Bahar Dönemi
KIM 101E,General Chemistry I,Erdem Yavuz,Pazartesi Salı Çarşamba,1400/1629 1400/1629 1400/1629,,23.0,50,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI EHB EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIMM KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MTO MTOE PET PETE SEH TEK TEKE TEKM TEL UCK UCKE UCKM UZB UZBE UZBM,30285.0,2019 - 2020 Yaz Dönemi
MAT 281E,Linear Algebra and Applicat.,Veysel Murat İstemihan Genç,Çarşamba Çarşamba,0930/1259 1330/1729,,51.0,50,BLG BLGE EHB EHBE ELE ELK ELKE FIZM KOM KOME SEH TEL UCKM,30159.0,2019 - 2020 Yaz Dönemi
FIZ 101EL,Physics I Laboratory,***,Pazartesi,0830/1029,,0.0,50,DUI DUIE GMI GMIE,13553.0,2020 - 2021 Güz Dönemi
KIM 484,Anorganik Kimya III,"Esin Hamuryudan, Zehra Bayır",Salı,1430/1729,FEB,39.0,50,KIM,20976.0,2019 - 2020 Bahar Dönemi
FIZ 101,Fizik I,İbrahim Türhan,Salı Çarşamba,1330/1629 1330/1629,INB FEB,43.0,50,BLG DUI EHB ELE ELH ELK END FIZM GEM GID GMI INS ISL JEO KMM KMMM KOM MAT MET MTO TEL UCKM,30408.0,2016 - 2017 Yaz Dönemi
FIZ 101,Fizik I,Ferid Salehli,Pazartesi Salı,1330/1629 1330/1629,EEB EEB,46.0,50,BLG DUI EHB ELE ELH ELK END FIZM GEM GID GMI INS ISL JEO KMM KMMM KOM MAT MET MTO TEL UCKM,30386.0,2016 - 2017 Yaz Dönemi
KIM 326E,Introduction to Biochemistry,"Onur Alptürk, Muhammet Übeydullah Kahveci",Cuma,0830/1129,,45.0,50,KIM KIME KIMM,10181.0,2020 - 2021 Güz Dönemi
FIZ 101,Fizik I,Haluk Özbek,Pazartesi Salı,0830/1129 0830/1129,FEB FEB,45.0,50,BLG DUI EHB ELE ELH ELK END FIZM GEM GID GMI INS ISL JEO KMM KMMM KOM MAT MET MTO TEL UCKM,30606.0,2016 - 2017 Yaz Dönemi
FIZ 101E,Physics I,Özgür Akarsu,Çarşamba Cuma,1330/1629 1330/1629,FEB FEB,41.0,50,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE DUIK EHB EHBE EHN ELE ELH ELK ELKE END ENDE EUT EUTE FIZM GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE GMIK IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KMMM KOM KOME KON KONE MAD MADE MAK MAKE MAKM MAT MATE MET METE MTO MTOE PET PETE SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,30423.0,2016 - 2017 Yaz Dönemi
END 445E,Lean Production Systems,Şule Itır Satoğlu,Perşembe,1330/1629,ISB,54.0,50,END ENDE IML IMLE KOM KOME,13955.0,2018 - 2019 Güz Dönemi
KIM 101,Genel Kimya I,Füsün Şeyma Güngör Kışkan,Salı Çarşamba Perşembe,1400/1629 1400/1629 1400/1629,,40.0,50,BIO BLG CHZ DEN EHB ELE ELH ELK GID IML INS JEF JEO KIMM KMM KMMM KOM MAD MAK MAT MET PET TEK TEKM TEL UCK UCKM UZB UZBM,30275.0,2019 - 2020 Yaz Dönemi
KIM 101,Genel Kimya I,Nejla Çini,Salı Salı Perşembe,0900/1129 1400/1629 0900/1129,,17.0,50,BIO BLG CHZ DEN EHB ELE ELH ELK GID IML INS JEF JEO KIMM KMM KMMM KOM MAD MAK MAT MET PET TEK TEKM TEL UCK UCKM UZB UZBM,30277.0,2019 - 2020 Yaz Dönemi
FIZ 241E,Symblc & Numrc Tchnqs in Physc,Tolga Birkandan,Salı,0830/1129,,41.0,50,FIZ FIZE,10650.0,2020 - 2021 Güz Dönemi
FIZ 241E,Symblc & Numrc Tchnqs in Physc,Tolga Birkandan,Pazartesi,1430/1729,,48.0,50,FIZ FIZE,10667.0,2020 - 2021 Güz Dönemi
KIM 101,Genel Kimya I,Barış Kışkan,Salı Çarşamba Perşembe,0900/1129 0900/1129 0900/1129,,50.0,50,BIO BLG CHZ DEN EHB ELE ELH ELK GID IML INS JEF JEO KIMM KMM KMMM KOM MAD MAK MAT MET PET TEK TEKM TEL UCK UCKM UZB UZBM,30273.0,2019 - 2020 Yaz Dönemi
FIZ 101E,Physics I,Özgür Akarsu,Çarşamba Cuma,0830/1129 0830/1129,FEB FEB,42.0,50,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE DUIK EHB EHBE EHN ELE ELH ELK ELKE END ENDE EUT EUTE FIZM GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE GMIK IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KMMM KOM KOME KON KONE MAD MADE MAK MAKE MAKM MAT MATE MET METE MTO MTOE PET PETE SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,30418.0,2016 - 2017 Yaz Dönemi
KIM 205,Organik Kimya,Gönül Yapar,Salı,0830/1129,MED,47.0,50,BIO BIOM CEV CHZ DEN ELE ELH ELK GEM INS JEO KIMM KYD MAD MET PET TEL,20868.0,2019 - 2020 Bahar Dönemi
FIZ 101E,Physics I,Hakkı Tunçay Özer,Salı Çarşamba,0830/1129 0830/1129,EEB MED,47.0,50,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE DUIK EHB EHBE EHN ELE ELH ELK ELKE END ENDE EUT EUTE FIZM GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE GMIK IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KMMM KOM KOME KON KONE MAD MADE MAK MAKE MAKM MAT MATE MET METE MTO MTOE PET PETE SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,30412.0,2016 - 2017 Yaz Dönemi
KIM 101,Genel Kimya I,Argun Talat Gökçeören,Pazartesi Salı Çarşamba,1400/1629 1400/1629 1400/1629,,30.0,50,BIO BLG CHZ DEN EHB ELE ELH ELK GID IML INS JEF JEO KIMM KMM KMMM KOM MAD MAK MAT MET PET TEK TEKM TEL UCK UCKM UZB UZBM,30276.0,2019 - 2020 Yaz Dönemi
KIM 101E,General Chemistry I,Nesrin Köken,Salı Çarşamba Perşembe,0900/1129 0900/1129 0900/1129,,14.0,50,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI EHB EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIMM KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MTO MTOE PET PETE SEH TEK TEKE TEKM TEL UCK UCKE UCKM UZB UZBE UZBM,30282.0,2019 - 2020 Yaz Dönemi
KIM 101E,General Chemistry I,Caner Ünlü,Salı Çarşamba Perşembe,0900/1129 0900/1129 0900/1129,,34.0,50,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI EHB EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIMM KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MTO MTOE PET PETE SEH TEK TEKE TEKM TEL UCK UCKE UCKM UZB UZBE UZBM,30281.0,2019 - 2020 Yaz Dönemi
KIM 101E,General Chemistry I,Abdullah Aydoğan,Pazartesi Salı Çarşamba,1400/1629 1400/1629 1400/1629,,27.0,50,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI EHB EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIMM KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MTO MTOE PET PETE SEH TEK TEKE TEKM TEL UCK UCKE UCKM UZB UZBE UZBM,30288.0,2019 - 2020 Yaz Dönemi
FIZ 101E,Physics I,Emre Onur Kahya,Pazartesi Salı,1330/1629 1330/1629,FEB FEB,49.0,50,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE DUIK EHB EHBE EHN ELE ELH ELK ELKE END ENDE EUT EUTE FIZM GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE GMIK IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KMMM KOM KOME KON KONE MAD MADE MAK MAKE MAKM MAT MATE MET METE MTO MTOE PET PETE SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,30462.0,2016 - 2017 Yaz Dönemi
FIZ 101E,Physics I,Abdurrahman Savaş Arapoğlu,Pazartesi Salı,1330/1629 1330/1629,FEB FEB,41.0,50,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE DUIK EHB EHBE EHN ELE ELH ELK ELKE END ENDE EUT EUTE FIZM GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE GMIK IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KMMM KOM KOME KON KONE MAD MADE MAK MAKE MAKM MAT MATE MET METE MTO MTOE PET PETE SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,30277.0,2016 - 2017 Yaz Dönemi
FIZ 101E,Physics I,Abdurrahman Savaş Arapoğlu,Pazartesi Salı,0830/1129 0830/1129,FEB FEB,43.0,50,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE DUIK EHB EHBE EHN ELE ELH ELK ELKE END ENDE EUT EUTE FIZM GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE GMIK IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KMMM KOM KOME KON KONE MAD MADE MAK MAKE MAKM MAT MATE MET METE MTO MTOE PET PETE SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,30273.0,2016 - 2017 Yaz Dönemi
KIM 101E,General Chemistry I,Altuğ Mert Sevim,Pazartesi Salı Çarşamba,1400/1629 1400/1629 1400/1629,,41.0,50,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI EHB EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIMM KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MTO MTOE PET PETE SEH TEK TEKE TEKM TEL UCK UCKE UCKM UZB UZBE UZBM,30286.0,2019 - 2020 Yaz Dönemi
KIM 312L,Fiziksel Kimya Lab. II,"Orhan Güney, Bahire Filiz Şenkal",Cuma,0830/1229,FEB,9.0,50,KIM,21255.0,2021 - 2022 Bahar Dönemi
TUR 104,Turkish Language II,Erol Kaplan,Perşembe,1030/1229,DZB,49.0,50,MEN MTM NAE,21881.0,2018 - 2019 Bahar Dönemi
KIM 203,Analitik Kimya,Gülçin Yılmaz,Pazartesi,1430/1729,,35.0,50,BIO CHZ DEN ELE ELH ELK GEM JEO MAD MET PET TEL,10103.0,2020 - 2021 Güz Dönemi
MAT 210,Mühendislik Matematiği,"Güler Arsan, Evren Tanrıöver",Salı Çarşamba,1330/1729 0830/1229,MED MED,50.0,50,BIO BLG CEV CHZ DUI EHB ELE ELH ELK END FIZ GEO GMI INS JDF JEF JEFM JEO KIM MAD MATM MET MTO PET TEK TEL UCK UCKM UZB UZBM,30393.0,2018 - 2019 Yaz Dönemi
KIM 232EL,Organic Chemistry Lab. II,"Abdullah Aydoğan, Ayşe Özdemir, Nesrin Köken",Cuma,1230/1729,FEB,22.0,50,KIM KIME,10777.0,2019 - 2020 Güz Dönemi
KIM 231L,Organik Kimya Lab. I,"Hakan Durmaz, İbrahim Volkan Kumbaracı",Perşembe,1230/1729,FEB,37.0,50,KIM,10758.0,2019 - 2020 Güz Dönemi
MAT 261E,Linear Algebra,Ayşegül Tepe,Pazartesi Salı,1430/1729 1030/1329,MED MED,47.0,50,BIO BIOE DEN DENE ELH END ENDE FIZ FIZE FIZM GEM GEME GEO GEOE ISL ISLE JDF JEF JEFE KMM KMME MAD MADE MTO MTOE TEK TEKE UCK UCKE UZB UZBE,30675.0,2018 - 2019 Yaz Dönemi
FIZ 102EL,Physics II Lab,Banu Tansel,Cuma,1030/1229,DZB,19.0,50,DUI DUIE GMI GMIE,23425.0,2017 - 2018 Bahar Dönemi
END 311,İstatistik,Cengiz Kahraman,Pazartesi,0830/1129,ISB,39.0,50,END,12017.0,2017 - 2018 Güz Dönemi
KIM 304E,Organic Chemistry II,Demet Çolak,Salı,1130/1329,,19.0,50,BIO BIOE,15277.0,2020 - 2021 Güz Dönemi
MAT 210E,Engineering Mathematics,Ayşegül Tepe,Pazartesi Salı Çarşamba,1030/1329 1430/1729 1030/1229,MED MED MED,53.0,50,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE INS INSE ISL ISLE JDF JEF JEFE JEFM JEO JEOE KIM KIME KMM KMME MAD MADE MATM MET METE MTO MTOE PET PETE TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,30396.0,2018 - 2019 Yaz Dönemi
